state,county,current_votes,total_votes,percent
Florida,Monroe County,48029,48029,100
Florida,Nassau County,58811,58811,100
Florida,Okaloosa County,116373,116373,100
Florida,Okeechobee County,15954,15954,100
Florida,Orange County,647403,647403,100
Florida,Osceola County,172436,172436,100
Florida,Palm Beach County,773158,773158,100
Florida,Pasco County,301970,301970,100
Florida,Pinellas County,559715,559715,100
Florida,Polk County,343256,343256,100
Florida,Putnam County,36373,36373,100
Florida,St. Johns County,176622,176622,100
Florida,St. Lucie County,172169,172169,100
Florida,Santa Rosa County,106928,106928,100
Florida,Sarasota County,270575,270575,100
Florida,Seminole County,260815,260815,100
Florida,Sumter County,92485,92485,100
Florida,Suwannee County,21057,21057,100
Florida,Taylor County,10127,10127,100
Florida,Union County,6245,6245,100
Florida,Volusia County,307439,307439,100
Florida,Wakulla County,18404,18404,100
Florida,Walton County,43711,43711,100
Florida,Washington County,12327,12327,100
Georgia,Appling County,8390,8341,100
Georgia,Atkinson County,3155,3155,100
Georgia,Bacon County,4667,4668,100
Georgia,Baker County,1555,1555,100
Georgia,Baldwin County,18251,18251,100
Georgia,Banks County,8801,8801,100
Georgia,Barrow County,37921,38017,100
Georgia,Bartow County,50464,50467,100
Georgia,Ben Hill County,6564,6560,100
Georgia,Berrien County,7743,7743,100
Georgia,Bibb County,70714,70802,100
Georgia,Bleckley County,5708,5706,100
Georgia,Brantley County,7749,7746,100
Georgia,Brooks County,7101,7100,100
Georgia,Bryan County,21335,21340,100
Georgia,Bulloch County,30090,30084,100
Georgia,Burke County,10683,10684,100
Georgia,Butts County,11771,11789,100
Georgia,Calhoun County,2198,2194,100
Georgia,Camden County,23686,23688,100
Georgia,Candler County,4431,4432,100
Georgia,Carroll County,54472,54474,100
Georgia,Catoosa County,32593,32692,100
Georgia,Charlton County,4568,4566,100
Georgia,Chatham County,133408,133420,100
Georgia,Chattahoochee County,1582,1590,100
Georgia,Chattooga County,10050,10050,100
Georgia,Cherokee County,144815,144830,100
Georgia,Clarke County,51346,51218,100
Georgia,Clay County,1435,1434,100
Georgia,Clayton County,112330,112344,100
Georgia,Clinch County,2861,2864,100
Georgia,Cobb County,393728,393744,100
Georgia,Coffee County,15253,15214,100
Georgia,Colquitt County,16086,16083,100
Georgia,Columbia County,80575,80579,100
Georgia,Cook County,7035,7035,100
Georgia,Coweta County,76799,76799,100
Georgia,Crawford County,6102,6102,100
Georgia,Crisp County,8033,8052,100
Georgia,Dade County,7434,7434,100
Georgia,Dawson County,16081,16081,100
Georgia,Decatur County,11625,11627,100
Georgia,DeKalb County,370746,370675,100
Georgia,Dodge County,8071,8070,100
Georgia,Dooly County,4105,4105,100
Georgia,Dougherty County,35287,35311,100
Georgia,Douglas County,69106,69097,100
Georgia,Early County,5188,5187,100
Georgia,Echols County,1441,1441,100
Georgia,Effingham County,31571,31624,100
Georgia,Elbert County,9171,9171,100
Georgia,Emanuel County,9505,9501,100
Georgia,Evans County,4247,4247,100
Georgia,Fannin County,14849,14850,100
Georgia,Fayette County,71994,71993,100
Georgia,Floyd County,41341,38588,100
Georgia,Forsyth County,129311,129305,100
Georgia,Franklin County,10765,10786,100
Georgia,Fulton County,523779,524659,100
Georgia,Gilmer County,16525,16525,100
Georgia,Glascock County,1565,1566,100
Georgia,Glynn County,41988,41984,100
Georgia,Gordon County,24033,24033,100
Georgia,Grady County,10707,10707,100
Georgia,Greene County,11244,11247,100
Georgia,Gwinnett County,414023,413865,100
Georgia,Habersham County,20431,20432,100
Georgia,Hall County,90537,90523,100
Georgia,Hancock County,4153,4165,100
Georgia,Haralson County,14246,14272,100
Georgia,Harris County,19991,19991,100
Georgia,Hart County,12728,12727,100
Georgia,Heard County,5394,5397,100
Georgia,Henry County,122998,122742,100
Georgia,Houston County,74838,74823,100
Georgia,Irwin County,4168,4168,100
Georgia,Jackson County,37675,37670,100
Georgia,Jasper County,7644,7644,100
Georgia,Jeff Davis County,5771,5771,100
Georgia,Jefferson County,7639,7642,100
Georgia,Jenkins County,3455,3455,100
Georgia,Johnson County,4100,4100,100
Georgia,Jones County,14934,14966,100
Georgia,Lamar County,9045,9039,100
Georgia,Lanier County,3576,3576,100
Georgia,Laurens County,22731,22729,100
Georgia,Lee County,16714,16714,100
Georgia,Liberty County,21394,21389,100
Georgia,Lincoln County,4641,4650,100
Georgia,Long County,5657,5656,100
Georgia,Lowndes County,46355,46355,100
Georgia,Lumpkin County,15531,15531,100
Georgia,McDuffie County,10455,10455,100
Georgia,McIntosh County,6696,6696,100
Georgia,Macon County,4663,4662,100
Georgia,Madison County,14937,14937,100
Georgia,Marion County,3625,3624,100
Georgia,Meriwether County,10877,10877,100
Georgia,Miller County,2834,2835,100
Georgia,Mitchell County,8962,8963,100
Georgia,Monroe County,15590,15592,100
Georgia,Montgomery County,3967,3966,100
Georgia,Morgan County,11706,11707,100
Georgia,Murray County,15389,15389,100
Georgia,Muscogee County,80514,80543,100
Georgia,Newton County,54234,54239,100
Georgia,Oconee County,25168,25168,100
Georgia,Oglethorpe County,8133,8131,100
Georgia,Paulding County,85372,85385,100
Georgia,Peach County,12553,12545,100
Georgia,Pickens County,17167,17116,100
Georgia,Pierce County,9047,9048,100
Georgia,Pike County,10720,10720,100
Georgia,Polk County,17396,17399,100
Georgia,Pulaski County,4081,4059,100
Georgia,Putnam County,11855,11855,100
Georgia,Quitman County,1106,1106,100
Georgia,Rabun County,9568,9568,100
Georgia,Randolph County,3073,3074,100
Georgia,Richmond County,87009,87016,100
Georgia,Rockdale County,44681,44686,100
Georgia,Schley County,2275,2275,100
Georgia,Screven County,6627,6628,100
Georgia,Seminole County,3888,3884,100
Georgia,Spalding County,30211,30116,100
Georgia,Stephens County,11885,11885,100
Georgia,Stewart County,1990,1990,100
Georgia,Sumter County,12148,12150,100
Georgia,Talbot County,3522,3522,100
Georgia,Taliaferro County,928,928,100
Georgia,Tattnall County,8185,8183,100
Georgia,Taylor County,3842,3839,100
Georgia,Telfair County,4334,4333,100
Georgia,Terrell County,4416,4416,100
Georgia,Thomas County,21872,21853,100
Georgia,Tift County,16279,16283,100
Georgia,Toombs County,10914,10914,100
Georgia,Towns County,7979,7979,100
Georgia,Treutlen County,3077,3077,100
Georgia,Troup County,30047,30059,100
Georgia,Turner County,3791,3792,100
Georgia,Twiggs County,4444,4444,100
Georgia,Union County,15558,15592,100
Georgia,Upson County,12905,12905,100
Georgia,Walker County,29354,29436,100
Georgia,Walton County,51093,50812,100
Georgia,Ware County,14189,14296,100
Georgia,Warren County,2650,2681,100
Georgia,Washington County,9477,9459,100
Georgia,Wayne County,12779,12778,100
Georgia,Webster County,1391,1390,100
Georgia,Wheeler County,2285,2285,100
Georgia,White County,14816,14816,100
Georgia,Whitfield County,36766,36746,100
Georgia,Wilcox County,3279,3281,100
Georgia,Wilkes County,5030,5029,100
Georgia,Wilkinson County,4770,4770,100
Georgia,Worth County,9285,9286,100
Hawaii,Hawaii County,87814,87814,100
Hawaii,Honolulu County,382114,382114,100
Hawaii,Kauai County,33497,33497,100
Hawaii,Maui County,71044,71044,100
Idaho,Ada County,259389,259377,99
Idaho,Adams County,2586,2650,95
Idaho,Bannock County,39553,36555,99
Idaho,Bear Lake County,3315,3279,95
Idaho,Benewah County,4973,5080,95
Idaho,Bingham County,20094,20094,99
Idaho,Blaine County,13288,13239,95
Idaho,Boise County,4820,4706,95
Idaho,Bonner County,27352,27021,99
Idaho,Bonneville County,53995,49517,95
Idaho,Boundary County,6313,6266,95
Idaho,Butte County,1415,1528,93
Idaho,Camas County,754,729,95
Idaho,Canyon County,90438,90438,99
Idaho,Caribou County,3416,3399,95
Idaho,Cassia County,9629,10188,95
Idaho,Clark County,311,337,92
Idaho,Clearwater County,4419,4615,95
Idaho,Custer County,2739,2930,93
Idaho,Elmore County,10205,10518,95
Idaho,Franklin County,6664,6182,95
Idaho,Fremont County,6719,6403,95
Idaho,Gem County,9958,9818,95
Idaho,Gooding County,6050,6409,94
Idaho,Idaho County,9602,9987,95
Idaho,Jefferson County,14173,12848,95
Idaho,Jerome County,7812,8335,94
Idaho,Kootenai County,89878,80475,95
Idaho,Latah County,20570,20543,99
Idaho,Lemhi County,4738,4973,95
Idaho,Lewis County,1870,1931,95
Idaho,Lincoln County,1940,2158,90
Idaho,Madison County,17112,17569,95
Idaho,Minidoka County,7993,7988,99
Idaho,Nez Perce County,20967,20967,99
Idaho,Oneida County,2451,2316,95
Idaho,Owyhee County,4742,4845,95
Idaho,Payette County,11293,11293,99
Idaho,Power County,3086,3194,95
Idaho,Shoshone County,6049,6216,95
Idaho,Teton County,6347,5572,95
Idaho,Twin Falls County,36680,36883,95
Idaho,Valley County,7063,6494,95
Idaho,Washington County,5344,5499,95
Illinois,Adams County,33527,32202,95
Illinois,Alexander County,2625,3010,87
Illinois,Bond County,8144,1160,99
Illinois,Boone County,24979,22910,95
Illinois,Brown County,2525,2604,95
Illinois,Bureau County,17434,18093,95
Illinois,Calhoun County,2773,2827,95
Illinois,Carroll County,8024,1062,99
Illinois,Cass County,5326,5603,95
Illinois,Champaign County,95568,101437,94
Illinois,Christian County,16204,16962,95
Illinois,Clark County,8355,8656,95
Illinois,Clay County,6899,6971,95
Illinois,Clinton County,19214,17465,95
Illinois,Coles County,22606,21851,95
Illinois,Cook County,2321399,2417649,95
Illinois,Crawford County,9441,9574,95
Illinois,Cumberland County,5850,6100,95
Illinois,DeKalb County,47989,43345,95
Illinois,De Witt County,8024,7552,95
Illinois,Douglas County,8760,8970,95
Illinois,DuPage County,485064,474506,95
Illinois,Edgar County,8196,8656,95
Illinois,Edwards County,3368,3670,92
Illinois,Effingham County,19083,17654,95
Illinois,Fayette County,10076,10033,99
Illinois,Ford County,6967,6997,95
Illinois,Franklin County,18669,20497,91
Illinois,Fulton County,16724,17278,95
Illinois,Gallatin County,2673,2980,90
Illinois,Greene County,6227,6137,95
Illinois,Grundy County,26753,26400,99
Illinois,Hamilton County,4323,4588,94
Illinois,Hancock County,9383,9121,95
Illinois,Hardin County,2162,2514,86
Illinois,Henderson County,3656,3885,94
Illinois,Henry County,25700,24559,95
Illinois,Iroquois County,14044,14348,95
Illinois,Jackson County,22716,27180,84
Illinois,Jasper County,5585,5643,95
Illinois,Jefferson County,17436,18631,94
Illinois,Jersey County,11960,12076,95
Illinois,Jo Daviess County,12495,11314,95
Illinois,Johnson County,6450,6442,99
Illinois,Kane County,231876,220744,99
Illinois,Kankakee County,50039,47156,95
Illinois,Kendall County,64205,59861,95
Illinois,Knox County,23205,25236,92
Illinois,Lake County,334156,334925,95
Illinois,LaSalle County,53683,54372,95
Illinois,Lawrence County,6422,6688,95
Illinois,Lee County,16440,16895,95
Illinois,Livingston County,17174,5933,99
Illinois,Logan County,13294,13117,99
Illinois,McDonough County,12290,13084,94
Illinois,McHenry County,164574,159365,95
Illinois,McLean County,87013,89415,95
Illinois,Macon County,49387,45131,99
Illinois,Macoupin County,24070,24534,95
Illinois,Madison County,137558,129785,95
Illinois,Marion County,17492,18728,93
Illinois,Marshall County,6345,6557,95
Illinois,Mason County,6766,2476,99
Illinois,Massac County,6818,6803,99
Illinois,Menard County,6954,6516,95
Illinois,Mercer County,8914,9326,95
Illinois,Monroe County,21206,19258,95
Illinois,Montgomery County,13761,14217,95
Illinois,Morgan County,15333,16167,95
Illinois,Moultrie County,6744,6879,95
Illinois,Ogle County,26340,26350,95
Illinois,Peoria County,83973,82264,99
Illinois,Perry County,10071,10817,93
Illinois,Piatt County,9851,9044,95
Illinois,Pike County,7965,7690,99
Illinois,Pope County,2175,2386,91
Illinois,Pulaski County,2631,3260,81
Illinois,Putnam County,3390,3345,99
Illinois,Randolph County,14910,15565,95
Illinois,Richland County,8063,7710,95
Illinois,Rock Island County,66817,64602,95
Illinois,St. Clair County,128104,121541,95
Illinois,Saline County,11089,12471,89
Illinois,Sangamon County,104751,108902,95
Illinois,Schuyler County,3918,3908,99
Illinois,Scott County,2741,2867,95
Illinois,Shelby County,12097,11901,99
Illinois,Stark County,2886,2999,95
Illinois,Stephenson County,22048,21446,99
Illinois,Tazewell County,69051,64441,95
Illinois,Union County,8904,8896,99
Illinois,Vermilion County,31642,33748,94
Illinois,Wabash County,5607,5992,94
Illinois,Warren County,7924,7792,95
Illinois,Washington County,7921,8163,95
Illinois,Wayne County,8499,9125,93
Illinois,White County,7431,8055,92
Illinois,Whiteside County,27375,27910,95
Illinois,Will County,346266,328279,99
Illinois,Williamson County,33729,31875,95
Illinois,Winnebago County,127710,119319,95
Illinois,Woodford County,21498,19789,95
Illinois,Cook Suburbs,1176658,1221698,95
Indiana,Adams County,14209,14209,100
Indiana,Allen County,169082,169082,100
Indiana,Bartholomew County,36235,36235,100
Indiana,Benton County,4114,4114,100
Indiana,Blackford County,5350,5350,100
Indiana,Boone County,38520,38520,100
Indiana,Brown County,8981,8981,100
Indiana,Carroll County,9495,9510,100
Indiana,Cass County,15198,15198,100
Indiana,Clark County,57869,57869,100
Indiana,Clay County,12267,12267,100
Indiana,Clinton County,12949,12949,100
Indiana,Crawford County,4944,4944,100
Indiana,Daviess County,11954,11954,100
Indiana,Dearborn County,25383,25383,100
Indiana,Decatur County,12287,12235,95
Indiana,DeKalb County,19628,19628,100
Indiana,Delaware County,48191,48191,100
Indiana,Dubois County,21770,21770,100
Indiana,Elkhart County,74387,74425,100
Indiana,Fayette County,10136,10136,100
Indiana,Floyd County,41802,41802,100
Indiana,Fountain County,7986,7986,100
Indiana,Franklin County,12000,12000,100
Indiana,Fulton County,9147,9147,100
Indiana,Gibson County,16161,16161,100
Indiana,Grant County,27159,27159,100
Indiana,Greene County,14784,14784,100
Indiana,Hamilton County,193999,193999,100
Indiana,Hancock County,42911,42911,100
Indiana,Harrison County,20236,20236,100
Indiana,Hendricks County,88505,88505,100
Indiana,Henry County,21030,21160,100
Indiana,Howard County,40630,40630,100
Indiana,Huntington County,17829,17829,100
Indiana,Jackson County,19238,19238,100
Indiana,Jasper County,15475,15475,100
Indiana,Jay County,8461,8461,100
Indiana,Jefferson County,14697,14697,100
Indiana,Jennings County,12251,12251,100
Indiana,Johnson County,77618,77618,100
Indiana,Knox County,16011,16011,100
Indiana,Kosciusko County,35787,35787,100
Indiana,LaGrange County,10633,10633,100
Indiana,Lake County,219956,219956,100
Indiana,LaPorte County,49392,49392,100
Indiana,Lawrence County,21025,21025,100
Indiana,Madison County,51793,51806,100
Indiana,Marion County,389619,390854,100
Indiana,Marshall County,19927,19927,100
Indiana,Martin County,5144,5144,100
Indiana,Miami County,14473,14473,100
Indiana,Monroe County,63151,63151,100
Indiana,Montgomery County,17198,17198,100
Indiana,Morgan County,36159,36159,100
Indiana,Newton County,6591,6591,100
Indiana,Noble County,19190,19190,100
Indiana,Ohio County,3164,3164,99
Indiana,Orange County,8832,8832,100
Indiana,Owen County,9904,9904,100
Indiana,Parke County,7011,7011,100
Indiana,Perry County,8722,8722,100
Indiana,Pike County,6220,6220,100
Indiana,Porter County,86509,86524,100
Indiana,Posey County,13236,13236,100
Indiana,Pulaski County,5806,5806,100
Indiana,Putnam County,16597,16597,100
Indiana,Randolph County,11070,11070,100
Indiana,Ripley County,14271,14271,100
Indiana,Rush County,7932,7932,100
Indiana,St. Joseph County,115238,115238,100
Indiana,Scott County,10161,10161,100
Indiana,Shelby County,19991,19991,100
Indiana,Spencer County,10769,10769,100
Indiana,Starke County,10290,10290,100
Indiana,Steuben County,16162,16162,100
Indiana,Sullivan County,8994,8994,100
Indiana,Switzerland County,4154,4154,100
Indiana,Tippecanoe County,71448,71448,100
Indiana,Tipton County,8116,8116,100
Indiana,Union County,3483,3483,100
Indiana,Vanderburgh County,77662,77662,100
Indiana,Vermillion County,7481,7481,100
Indiana,Vigo County,43594,43594,100
Indiana,Wabash County,14573,14573,100
Indiana,Warren County,4472,4472,100
Indiana,Warrick County,33829,33829,100
Indiana,Washington County,12139,12139,100
Indiana,Wayne County,27679,27679,100
Indiana,Wells County,14050,14050,100
Indiana,White County,11166,11166,100
Indiana,Whitley County,17556,17556,100
Iowa,Adair County,4184,4184,100
Iowa,Adams County,2160,2160,100
Iowa,Allamakee County,7462,7462,100
Iowa,Appanoose County,6516,6516,100
Iowa,Audubon County,3420,3420,100
Iowa,Benton County,14642,14642,100
Iowa,Black Hawk County,66593,66593,100
Iowa,Boone County,15340,15340,100
Iowa,Bremer County,14546,14546,100
Iowa,Buchanan County,10774,10774,100
Iowa,Buena Vista County,8167,8167,100
Iowa,Butler County,8098,8098,100
Iowa,Calhoun County,5258,5258,100
Iowa,Carroll County,11335,11335,100
Iowa,Cass County,7276,7276,100
Iowa,Cedar County,10703,10703,100
Iowa,Cerro Gordo County,23801,24839,95
Iowa,Cherokee County,6518,6518,100
Iowa,Chickasaw County,6631,6631,100
Iowa,Clarke County,4670,4670,100
Iowa,Clay County,8969,8969,100
Iowa,Clayton County,9594,9594,100
Iowa,Clinton County,24687,24687,100
Iowa,Crawford County,7154,7154,100
Iowa,Dallas County,56022,56022,100
Iowa,Davis County,4102,4102,100
Iowa,Decatur County,3804,3804,100
Iowa,Delaware County,10003,10003,100
Iowa,Des Moines County,19956,19956,100
Iowa,Dickinson County,11244,11244,100
Iowa,Dubuque County,53926,53926,100
Iowa,Emmet County,4853,4853,100
Iowa,Fayette County,10186,10186,100
Iowa,Floyd County,8032,8032,100
Iowa,Franklin County,5130,5130,100
Iowa,Fremont County,3857,3857,100
Iowa,Greene County,5057,5057,100
Iowa,Grundy County,7276,7276,100
Iowa,Guthrie County,6371,6371,100
Iowa,Hamilton County,7943,7943,100
Iowa,Hancock County,6172,6172,100
Iowa,Hardin County,8989,8989,100
Iowa,Harrison County,8155,8155,100
Iowa,Henry County,9982,9982,100
Iowa,Howard County,4958,4951,99
Iowa,Humboldt County,5327,5327,100
Iowa,Ida County,3849,3849,100
Iowa,Iowa County,9742,9742,100
Iowa,Jackson County,11135,11135,100
Iowa,Jasper County,20184,20184,100
Iowa,Jefferson County,8959,8959,100
Iowa,Johnson County,83851,83851,100
Iowa,Jones County,10989,10989,100
Iowa,Keokuk County,5303,5303,100
Iowa,Kossuth County,9090,9090,100
Iowa,Lee County,16734,16734,100
Iowa,Linn County,127458,127458,100
Iowa,Louisa County,5332,5332,100
Iowa,Lucas County,4630,4630,100
Iowa,Lyon County,6863,6863,100
Iowa,Madison County,9824,9824,100
Iowa,Mahaska County,11404,11404,100
Iowa,Marion County,19232,19232,100
Iowa,Marshall County,18136,18136,100
Iowa,Mills County,8268,8268,100
Iowa,Mitchell County,5822,5822,100
Iowa,Monona County,4728,4728,100
Iowa,Monroe County,4088,4088,100
Iowa,Montgomery County,5327,5327,100
Iowa,Muscatine County,20671,20671,100
Iowa,O'Brien County,7551,7551,100
Iowa,Osceola County,3328,3328,100
Iowa,Page County,7528,7528,100
Iowa,Palo Alto County,4958,4958,100
Iowa,Plymouth County,14188,14188,100
Iowa,Pocahontas County,3823,3823,100
Iowa,Polk County,258755,258755,100
Iowa,Pottawattamie County,45744,45744,100
Iowa,Poweshiek County,10140,10140,100
Iowa,Ringgold County,2714,2714,100
Iowa,Sac County,5535,5535,100
Iowa,Scott County,92599,92599,100
Iowa,Shelby County,6795,6795,100
Iowa,Sioux County,19051,19051,100
Iowa,Story County,51038,51038,100
Iowa,Tama County,9048,9048,100
Iowa,Taylor County,3249,3249,100
Iowa,Union County,6185,6185,100
Iowa,Van Buren County,3792,3792,100
Iowa,Wapello County,15633,15633,100
Iowa,Warren County,31039,31039,100
Iowa,Washington County,11765,11765,100
Iowa,Wayne County,3109,3109,100
Iowa,Webster County,17822,17822,100
Iowa,Winnebago County,5970,5970,100
Iowa,Winneshiek County,12064,12064,100
Iowa,Woodbury County,45362,45362,100
Iowa,Worth County,4418,4418,100
Iowa,Wright County,6254,6254,100
Kansas,Allen County,5842,7429,79
Kansas,Anderson County,3720,3664,99
Kansas,Atchison County,7312,362,99
Kansas,Barber County,2313,2507,92
Kansas,Barton County,10961,10891,99
Kansas,Bourbon County,6550,6776,95
Kansas,Brown County,4396,4377,95
Kansas,Butler County,31946,31708,99
Kansas,Chase County,1478,1484,95
Kansas,Chautauqua County,1634,1768,92
Kansas,Cherokee County,8945,8925,99
Kansas,Cheyenne County,1400,1621,86
Kansas,Clark County,1048,1156,91
Kansas,Clay County,4134,4342,95
Kansas,Cloud County,4174,4609,91
Kansas,Coffey County,4448,4442,99
Kansas,Comanche County,904,1006,90
Kansas,Cowley County,13911,13779,95
Kansas,Crawford County,16718,15950,99
Kansas,Decatur County,1458,1742,84
Kansas,Dickinson County,9246,9158,99
Kansas,Doniphan County,3674,3690,95
Kansas,Douglas County,57540,56097,95
Kansas,Edwards County,1413,1502,94
Kansas,Elk County,1347,1484,91
Kansas,Ellis County,13501,13323,99
Kansas,Ellsworth County,2806,2939,95
Kansas,Finney County,11466,11017,95
Kansas,Ford County,8850,9068,95
Kansas,Franklin County,12247,11912,95
Kansas,Geary County,9311,8912,95
Kansas,Gove County,1433,1572,91
Kansas,Graham County,1302,1523,85
Kansas,Grant County,2452,2591,95
Kansas,Gray County,2240,2241,95
Kansas,Greeley County,629,761,83
Kansas,Greenwood County,3030,3080,95
Kansas,Hamilton County,837,951,88
Kansas,Harper County,2626,2796,94
Kansas,Harvey County,17034,16719,99
Kansas,Haskell County,1383,1514,91
Kansas,Hodgeman County,1033,1205,86
Kansas,Jackson County,6468,6422,99
Kansas,Jefferson County,9581,9545,99
Kansas,Jewell County,1608,1624,95
Kansas,Johnson County,349386,340000,95
Kansas,Kearny County,1413,1503,94
Kansas,Kingman County,3929,3922,99
Kansas,Kiowa County,1139,1298,88
Kansas,Labette County,8414,8792,95
Kansas,Lane County,888,1006,88
Kansas,Leavenworth County,36115,36000,95
Kansas,Lincoln County,1570,1686,93
Kansas,Linn County,4903,4398,99
Kansas,Logan County,1437,1472,95
Kansas,Lyon County,13622,13971,95
Kansas,McPherson County,13868,14486,95
Kansas,Marion County,5969,5890,99
Kansas,Marshall County,5023,5020,99
Kansas,Meade County,1807,1865,95
Kansas,Miami County,17624,17079,95
Kansas,Mitchell County,3039,3371,90
Kansas,Montgomery County,13177,13460,95
Kansas,Morris County,2849,2846,95
Kansas,Morton County,1163,1386,84
Kansas,Nemaha County,5625,5578,99
Kansas,Neosho County,6629,7026,94
Kansas,Ness County,1487,1484,99
Kansas,Norton County,2390,2386,99
Kansas,Osage County,7893,7883,99
Kansas,Osborne County,1899,2090,91
Kansas,Ottawa County,3159,3335,95
Kansas,Pawnee County,2712,2886,94
Kansas,Phillips County,2752,3278,84
Kansas,Pottawatomie County,12815,18500,69
Kansas,Pratt County,4107,4026,99
Kansas,Rawlins County,1496,1674,89
Kansas,Reno County,27245,27148,99
Kansas,Republic County,2643,3053,87
Kansas,Rice County,4230,4169,99
Kansas,Riley County,23855,24116,95
Kansas,Rooks County,2661,3054,87
Kansas,Rush County,1748,1785,95
Kansas,Russell County,3429,3409,99
Kansas,Saline County,23911,23742,99
Kansas,Scott County,2322,2302,99
Kansas,Sedgwick County,213552,211443,95
Kansas,Seward County,5099,5613,91
Kansas,Shawnee County,86122,85621,95
Kansas,Sheridan County,1397,1490,94
Kansas,Sherman County,2673,2840,94
Kansas,Smith County,2092,2215,94
Kansas,Stafford County,2017,2156,94
Kansas,Stanton County,767,823,93
Kansas,Stevens County,1997,2206,91
Kansas,Sumner County,10779,10730,99
Kansas,Thomas County,3794,3768,99
Kansas,Trego County,1603,1794,89
Kansas,Wabaunsee County,3861,3851,99
Kansas,Wallace County,817,907,90
Kansas,Washington County,2843,2827,99
Kansas,Wichita County,961,1070,90
Kansas,Wilson County,3899,4031,95
Kansas,Woodson County,1495,1492,99
Kansas,Wyandotte County,55107,56778,95
Kentucky,Adair County,8768,8768,100
Kentucky,Allen County,9364,9364,100
Kentucky,Anderson County,13254,13254,100
Kentucky,Ballard County,4225,4227,100
Kentucky,Barren County,20064,20064,100
Kentucky,Bath County,5627,5627,100
Kentucky,Bell County,10044,10044,100
Kentucky,Boone County,66998,66998,100
Kentucky,Bourbon County,9648,9648,100
Kentucky,Boyd County,21751,21755,100
Kentucky,Boyle County,14478,14478,100
Kentucky,Bracken County,4246,4246,100
Kentucky,Breathitt County,5661,5661,100
Kentucky,Breckinridge County,10201,10201,100
Kentucky,Bullitt County,41998,41998,100
Kentucky,Butler County,6125,6125,100
Kentucky,Caldwell County,6434,6434,100
Kentucky,Calloway County,17457,17475,100
Kentucky,Campbell County,48878,48880,100
Kentucky,Carlisle County,2638,2642,100
Kentucky,Carroll County,4136,4136,100
Kentucky,Carter County,11586,11586,100
Kentucky,Casey County,7171,7295,100
Kentucky,Christian County,23863,23863,100
Kentucky,Clark County,18139,18139,100
Kentucky,Clay County,7591,7591,100
Kentucky,Clinton County,4932,4932,100
Kentucky,Crittenden County,4242,4242,100
Kentucky,Cumberland County,3309,3309,100
Kentucky,Daviess County,49287,49287,100
Kentucky,Edmonson County,6132,6132,100
Kentucky,Elliott County,2995,2995,100
Kentucky,Estill County,6540,6540,100
Kentucky,Fayette County,152912,153150,100
Kentucky,Fleming County,7068,7002,99
Kentucky,Floyd County,16353,16353,100
Kentucky,Franklin County,26072,26113,100
Kentucky,Fulton County,2426,2426,100
Kentucky,Gallatin County,3849,3849,100
Kentucky,Garrard County,8706,8706,100
Kentucky,Grant County,11108,11108,100
Kentucky,Graves County,17019,17019,100
Kentucky,Grayson County,11985,11985,100
Kentucky,Green County,5812,5892,100
Kentucky,Greenup County,18176,18176,100
Kentucky,Hancock County,4587,4587,100
Kentucky,Hardin County,48941,48949,100
Kentucky,Harlan County,10971,10971,100
Kentucky,Harrison County,8859,8859,100
Kentucky,Hart County,8370,8370,100
Kentucky,Henderson County,20697,20697,100
Kentucky,Henry County,8110,8110,100
